avg_speed,avg_spin,avg_break_x,avg_break_z,avg_break_z_induced,avg_break,range_speed,usage_pct,name,year,pitch_hand,arm_angle,pitch_type,umap_1,umap_2,player_id,savant_url,correct_savant_url
84.2,1802.0,12.5,-35.0,3.4,13.1,2.0,9.6,"Fried, Max",2025,L,47.2,CH,4.383507,11.783986,608331,https://baseballsavant.mlb.com/sporty-videos?playId=778461-4,https://baseballsavant.mlb.com/sporty-videos?playId=47d348ae-d086-32e5-bdb9-13293a88d09a
96.1,2037.0,-9.2,-15.3,14.6,17.3,1.5,20.1,"Ríos, Yacksel",2018,R,,FF,11.159267,4.7598696,605441,https://baseballsavant.mlb.com/sporty-videos?playId=531751-2,https://baseballsavant.mlb.com/sporty-videos?playId=12fd7f93-3198-4ca9-83ed-7568bae36c09
89.5,2116.0,1.1,-27.5,7.3,8.1,1.3,62.9,"Colomé, Alex",2017,R,,FC,2.6181734,6.785254,517008,https://baseballsavant.mlb.com/sporty-videos?playId=491939-4,https://baseballsavant.mlb.com/sporty-videos?playId=ca98dfe5-137c-4628-a20c-b66feb7d9df2
80.3,2202.0,1.6,-48.3,-5.5,5.9,1.3,3.9,"Rucinski, Drew",2018,R,,CU,0.2140228,3.6134274,607968,https://baseballsavant.mlb.com/sporty-videos?playId=530369-2,https://baseballsavant.mlb.com/sporty-videos?playId=32c6247d-1ee1-4487-8042-5e1c0bf90e0f
76.7,2223.0,6.3,-57.6,-10.9,13.0,1.5,3.3,"Clevinger, Mike",2022,R,37.9,CU,-2.1084044,3.847945,605182,https://baseballsavant.mlb.com/sporty-videos?playId=662258-1,https://baseballsavant.mlb.com/sporty-videos?playId=86acf55b-bfae-477f-b833-93b02bab45c8
91.9,2329.0,-2.4,-21.0,11.2,11.6,1.4,1.7,"Weissert, Greg",2024,R,15.7,FC,6.006364,5.981296,669711,https://baseballsavant.mlb.com/sporty-videos?playId=746905-3,https://baseballsavant.mlb.com/sporty-videos?playId=7f252bbb-4486-4b56-9560-5a7d605df5e5
93.9,2295.0,-7.8,-15.8,16.1,18.0,1.3,1.9,"Greene, Shane",2019,R,,FF,10.059375,4.3030033,572888,https://baseballsavant.mlb.com/sporty-videos?playId=566928-5,https://baseballsavant.mlb.com/sporty-videos?playId=f5786285-1682-47bf-bed2-59a20bb4fa31
87.0,2226.0,4.7,-29.4,6.8,8.3,1.4,0.3,"Sulser, Cole",2021,R,49.4,FC,4.4327884,5.1584063,642121,,
93.9,2784.0,-9.9,-11.2,20.2,22.6,1.7,40.2,"Bauer, Trevor",2021,R,43.4,FF,12.276982,7.302793,545333,,
95.0,2035.0,13.7,-19.3,12.2,18.4,1.2,22.6,"Freeman, Sam",2018,L,,SI,7.591848,10.854768,518693,https://baseballsavant.mlb.com/sporty-videos?playId=530301-3,https://baseballsavant.mlb.com/sporty-videos?playId=591a76ce-fb54-4e3a-8100-0225efb0131f
