name,player_id
"Freeland, Kyle",607536
"Shackelford, Kevin",594992
"Pruitt, Austin",643493
"Milner, Hoby",571948
"Stratton, Chris",608717
"Lawrence, Casey",596271
"Strahm, Matt",621381
"Bridwell, Parker",592170
"Davis, Rookie",606959
"Crick, Kyle",605195
"Stammen, Craig",489334
"Brice, Austin",592169
"Barnes, Danny",592130
"Minaya, Juan",573668
"Montero, Rafael",606160
"Díaz, Miguel",622766
"Parker, Blake",453284
"Blackburn, Paul",621112
"Gonzales, Marco",594835
"Musgrave, Harrison",643466
"Hudson, Dakota",641712
"Holmes, Clay",605280
"Ponce de Leon, Daniel",594965
"Scott, Tanner",656945
"Jurado, Ariel",642558
"Smith, Burch",572143
"Nix, Jacob",656798
"Kittredge, Andrew",552640
"Fillmyer, Heath",641571
"Winkler, Dan",595465
"Beeks, Jalen",656222
"Moya, Gabriel",622382
"Peterson, Tim",623402
"Floro, Dylan",571670
"Rodríguez, Richard",593144
"Magill, Matt",543483
"Hess, David",605276
"Hirano, Yoshihisa",673633
"Fedde, Erick",607200
"Hernández, Elieser",622694
"Mikolas, Miles",571945
"Kolarek, Adam",592473
"Germán, Domingo",593334
"Ohtani, Shohei",660271
"Kennedy, Brett",664028
"Schultz, Jaime",621289
"Font, Wilmer",521655
"Ferguson, Caleb",657571
"Venters, Jonny",458924
"Toussaint, Touki",657053
"Kingham, Nick",592468
"Bummer, Aaron",607481
"Adam, Jason",592094
"Cole, Taylor",518566
"Koch, Matt",571863
"Smith, Caleb",592761
"Skoglund, Eric",607215
"Martin, Chris",455119
"Reininger, Zac",643617
"Santana, Edgar",650828
"Fry, Jace",605240
"Chirinos, Yonny",630023
"Farrell, Luke",608652
"Borucki, Ryan",621366
"Bashlor, Tyler",641341
"Moronta, Reyes",606625
"Flaherty, Jack",656427
"Jiménez, Joe",641729
"Valdez, Framber",664285
"Lucchesi, Joey",664192
"Oswalt, Corey",621261
"Carpenter, Ryan",543001
"Hill, Tim",657612
"Davis, Austin",819862
"Plutko, Adam",592644
"Wood, Hunter",621056
"Keller, Brad",641745
"Castillo, Diego",660636
"Hicks, Jordan",663855
"Rosario, Randy",600968
"Peralta, Freddy",642547
"Mayers, Mike",594577
"Gomber, Austin",596295
"Biddle, Jesse",592145
"Trivino, Lou",642152
"Stanek, Ryne",592773
"Mayza, Tim",641835
"Buehler, Walker",621111
"Pannone, Thomas",623381
"López, Pablo",641154
"Rucinski, Drew",607968
"Stock, Robert",476594
"Domínguez, Seranthony",622554
"Littell, Zack",641793
"Reid-Foley, Sean",656887
"Burnes, Corbin",669203
"Méndez, Yohander",622795
"Ramirez, Noé",598287
"Erlin, Robbie",572362
"Yarbrough, Ryan",642232
"Bieber, Shane",669456
"Suárez, Andrew",605498
"Loáisiga, Jonathan",642528
"Mahle, Tyler",641816
"Cimber, Adam",643256
"Smith, Drew",622098
"Castillo, José",620454
"Ríos, Yacksel",605441
"López, Jorge",605347
"Araújo, Pedro",606478
"Alcántara, Victor",622505
"Rhame, Jacob",642008
"Brasier, Ryan",518489
"Lauer, Eric",641778
"Volstad, Chris",458690
"Carle, Shane",641438
"Rodríguez, Dereck",605446
"Guerra, Javy",642770
"Lewicki, Artie",592499
"Arano, Víctor",644364
"Guerrero, Tayron",594027
"Johnson, Pierce",572955
"Suero, Wander",593833
"Yacabonis, Jimmy",642231
"McGuire, Deck",592547
"Stewart, Kohl",640464
"Anderson, Justin",605121
"Richards, Trevor",670950
"Olson, Tyler",621397
"Fry, Paul",643316
"Williams, Taylor",592865
"Romero, Fernando",622864
"Gonsalves, Stephen",624427
"Graves, Brett",605255
"Springs, Jeffrey",605488
"Sparkman, Glenn",642098
"Soroka, Michael",647336
"Ramírez, Yefry",606162
"Makita, Kazuhisa",628318
"Yamamoto, Jordan",657141
"Mills, Alec",621219
"McKay, Brendan",656713
"Gagnon, Drew",543193
"Rainey, Tanner",663432
"Webb, Jacob",657097
"Kinley, Tyler",641755
"Melville, Tim",543532
"Newberry, Jake",623470
"Jackson, Jay",543351
"Lambert, Peter",663567
"Allard, Kolby",663465
"Paddack, Chris",663978
"Payano, Pedro",622797
"Smeltzer, Devin",656970
"Gallegos, Giovanny",606149
"Dowdy, Kyle",664871
"Lockett, Walker",621141
"Webb, Tyler",643778
"Brewer, Colten",605155
"Allen, Logan",671106
"Zimmer, Kyle",622092
"Ramirez, Nick",598286
"Festa, Matt",670036
"Kline, Branden",571858
"Shafer, Justin",596101
"García, Edgar",658305
"Eshelman, Thomas",664045
"Buttrey, Ty",621142
"Agrazal, Dario",642607
"May, Dustin",669160
"Plesac, Zach",668676
"McRae, Alex",656725
"Stashak, Cody",664054
"Soto, Gregory",642397
"Gallen, Zac",668678
"Quijada, José",650671
"Hernández, Darwinzon",650382
"Alexander, Tyler",641302
"Thornton, Trent",663423
"Johnson, DJ",597113
"Swanson, Erik",657024
"Brennan, Brandon",592165
"Díaz, Jairo",545064
"Bard, Luke",572703
"Brigham, Jeff",656257
"Martin, Brett",656685
"Gonsolin, Tony",664062
"Cisnero, José",542585
"Wingenter, Trey",622259
"Young, Alex",622065
"Walden, Marcus",519393
"Shawaryn, Mike",642067
"Almonte, Yency",622075
"Anderson, Tanner",664196
"Voth, Austin",608723
"Poche, Colin",621363
"Duplantier, Jon",641541
"Phillips, Evan",623465
"Kelly, Merrill",518876
"Cordero, Jimmy",622772
"Turnbull, Spencer",605513
"Dugger, Robert",667498
"López, Yoan",661255
"Suárez, Ranger",624133
"Sandoval, Patrick",663776
"Anderson, Nick",623433
"Crichton, Stefan",592233
"Civale, Aaron",650644
"Means, John",607644
"Houser, Adrian",605288
"Wieck, Brad",623364
"Guerrieri, Taylor",605260
"Beede, Tyler",595881
"Wang, Wei-Chung",623913
"James, Josh",657624
"Irvin, Cole",608344
"Urquidy, José",664353
"Tarpley, Stephen",605501
"Anderson, Shaun",641312
"Marshall, Evan",605359
"Quantrill, Cal",615698
"Clarke, Taylor",664199
"Adams, Chance",664856
"Margevicius, Nick",676606
"Harper, Ryne",607560
"Webb, Logan",657277
"Kikuchi, Yusei",579328
